1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Data_Time
이재명,국회,체포동의안,속보,대통령,노조,불법,대표,27일,건설현장,2023-02-21 13:55:05.762745
이재명,국회,체포동의안,대통령,속보,불법,노조,노란봉투법,대표,건설현장,2023-02-21 14:00:05.820619
이재명,국회,체포동의안,대통령,속보,불법,노조,노란봉투법,대표,인정,2023-02-21 14:05:04.961055
이재명,국회,체포동의안,노란봉투법,대통령,불법,속보,노조,환노위,단독,2023-02-21 14:10:05.790734
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,환노위,속보,단독,2023-02-21 14:15:06.097750
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,속보,환노위,단독,2023-02-21 14:20:05.731856
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,속보,환노위,단독,2023-02-21 14:25:05.431391
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,환노위,속보,단독,2023-02-21 14:30:05.291877
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,속보,환노위,단독,2023-02-21 14:35:06.448112
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,속보,환노위,단독,2023-02-21 14:40:05.307822
이재명,국회,체포동의안,노란봉투법,불법,대통령,노조,속보,환노위,단독,2023-02-21 14:45:06.301178
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,속보,환노위,단독,2023-02-21 14:50:05.530799
이재명,국회,체포동의안,노란봉투법,불법,대통령,노조,환노위,속보,단독,2023-02-21 14:55:05.738956
이재명,국회,체포동의안,노란봉투법,대통령,불법,노조,환노위,속보,단독,2023-02-21 15:00:05.537131
이재명,국회,체포동의안,노란봉투법,불법,대통령,노조,환노위,속보,단독,2023-02-21 15:05:05.948942
이재명,국회,체포동의안,노조,노란봉투법,단독,대통령,불법,자격,인정,2023-02-21 15:10:05.734122
이재명,국회,체포동의안,노란봉투법,대통령,노조,단독,불법,자격,인정,2023-02-21 15:15:05.717158
이재명,국회,체포동의안,노조,노란봉투법,단독,대통령,불법,자격,인정,2023-02-21 15:20:04.880088
이재명,국회,체포동의안,노란봉투법,단독,노조,대통령,불법,자격,인정,2023-02-21 15:25:05.694356
이재명,국회,체포동의안,대통령,노조,노란봉투법,단독,불법,자격,인정,2023-02-21 15:30:05.410326
이재명,국회,체포동의안,대통령,노조,노란봉투법,단독,불법,자격,인정,2023-02-21 15:35:05.740688
이재명,국회,체포동의안,노란봉투법,노조,단독,대통령,불법,자격,인정,2023-02-21 15:40:05.667671
이재명,국회,체포동의안,노란봉투법,단독,노조,대통령,불법,인정,자격,2023-02-21 15:45:05.493850
이재명,국회,체포동의안,노란봉투법,노조,단독,대통령,불법,인정,자격,2023-02-21 15:50:06.056166
이재명,국회,체포동의안,대통령,노조,노란봉투법,단독,불법,인정,자격,2023-02-21 15:55:05.434189
이재명,국회,체포동의안,노란봉투법,단독,대통령,노조,불법,인정,자격,2023-02-21 16:00:05.892904
이재명,국회,체포동의안,단독,노란봉투법,노조,대통령,불법,인정,자격,2023-02-21 16:05:05.376576
이재명,체포동의안,국회,단독,자격,인정,대통령,노조,불법,피부양자,2023-02-21 16:10:05.830871
이재명,체포동의안,국회,단독,인정,자격,불법,대통령,노조,피부양자,2023-02-21 16:15:06.167531
이재명,체포동의안,국회,단독,인정,자격,노조,불법,대통령,피부양자,2023-02-21 16:20:05.063170
이재명,체포동의안,국회,단독,인정,자격,대통령,노조,불법,피부양자,2023-02-21 16:25:05.626666
이재명,체포동의안,국회,단독,자격,인정,대통령,노조,불법,피부양자,2023-02-21 16:30:05.603247
이재명,체포동의안,국회,인정,단독,자격,대통령,노조,불법,피부양자,2023-02-21 16:35:05.952368
이재명,체포동의안,국회,단독,인정,자격,노조,불법,대통령,피부양자,2023-02-21 16:40:06.236683
이재명,체포동의안,국회,단독,인정,자격,대통령,노조,불법,피부양자,2023-02-21 16:45:05.803520
이재명,체포동의안,국회,단독,자격,인정,대통령,노조,불법,피부양자,2023-02-21 16:50:06.302304
이재명,체포동의안,국회,단독,인정,자격,노조,불법,대통령,피부양자,2023-02-21 16:55:05.832732
